date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:16	96529/96529	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Jul%202022%2015:15:15%20GMT	https://why-what-who.com/	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/why-what-who.com/why-what-who.com/why-what-who.com/index.html	(from )
18:15:17	80574/80574	---M--	200	added ('OK')	text/css	etag:%2260f93f3c-13abe%22	https://why-what-who.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/why-what-who.com/why-what-who.com/why-what-who.com/wp-includes/css/dist/block-library/style.min41a3.css	(from https://why-what-who.com/)
18:15:18	75362/-1	---M--	200	added ('OK')	application/rss+xml	date:Tue,%2012%20Jul%202022%2009:27:13%20GMT	https://why-what-who.com/feed/	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/why-what-who.com/why-what-who.com/why-what-who.com/feed/index.html	(from https://why-what-who.com/)
18:15:18	159889/159889	---M--	200	added ('OK')	text/css	etag:%2262851059-27091%22	https://why-what-who.com/wp-content/cache/min/1/wp-content/themes/newsup/css/bootstrap.css?ver=1652887641	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/why-what-who.com/why-what-who.com/why-what-who.com/wp-content/cache/min/1/wp-content/themes/newsup/css/bootstrap8d16.css	(from https://why-what-who.com/)
18:15:18	737/-1	---M--	200	added ('OK')	application/rss+xml	date:Tue,%2012%20Jul%202022%2015:15:18%20GMT	https://why-what-who.com/comments/feed/	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/why-what-who.com/why-what-who.com/why-what-who.com/comments/feed/index.html	(from https://why-what-who.com/)
18:15:19	56098/56098	---M--	200	added ('OK')	text/css	etag:%2262851059-db22%22	https://why-what-who.com/wp-content/cache/min/1/wp-content/themes/newsup/style.css?ver=1652887641	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/why-what-who.com/why-what-who.com/why-what-who.com/wp-content/cache/min/1/wp-content/themes/newsup/style8d16.css	(from https://why-what-who.com/)
18:15:19	22969/22969	---M--	200	added ('OK')	text/css	etag:%2262851059-59b9%22	https://why-what-who.com/wp-content/cache/min/1/wp-content/themes/newsup/css/colors/default.css?ver=1652887641	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/why-what-who.com/why-what-who.com/why-what-who.com/wp-content/cache/min/1/wp-content/themes/newsup/css/colors/default8d16.css	(from https://why-what-who.com/)
18:15:20	57504/57504	---M--	200	added ('OK')	text/css	etag:%2262851059-e0a0%22	https://why-what-who.com/wp-content/cache/min/1/wp-content/themes/newsup/css/font-awesome/css/all.min.css?ver=1652887641	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/why-what-who.com/why-what-who.com/why-what-who.com/wp-content/cache/min/1/wp-content/themes/newsup/css/font-awesome/css/all.min8d16.css	(from https://why-what-who.com/)
18:15:21	26626/26626	---M--	200	added ('OK')	text/css	etag:%226284e73d-6802%22	https://why-what-who.com/wp-content/themes/newsup/css/font-awesome/css/v4-shims.min.css?ver=5.8	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/why-what-who.com/why-what-who.com/why-what-who.com/wp-content/themes/newsup/css/font-awesome/css/v4-shims.min41a3.css	(from https://why-what-who.com/)
18:15:22	1213/1213	---M--	200	added ('OK')	text/css	etag:%2262851059-4bd%22	https://why-what-who.com/wp-content/cache/min/1/wp-content/themes/newsup/css/owl.carousel.css?ver=1652887641	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/why-what-who.com/why-what-who.com/why-what-who.com/wp-content/cache/min/1/wp-content/themes/newsup/css/owl.carousel8d16.css	(from https://why-what-who.com/)
